nro_lista,lista
1,Movimiento de Integración y Desarrollo
20,Unión del Centro Democrático
47,Coalición Cí­vica - Afirmación para una República Igualitaria
95,Frente Patriota Federal
96,La Libertad Avanza
262,El Movimiento
329,Seamos Libres
350,La Izquierda en la Ciudad
352,Movimiento Plural
701,Es Ahora Buenos Aires
702,Principios y Valores
703,Confluencia - Por la Igualdad y la SoberanÃía
704,Volvamos Buenos Aires
705,Evolución
706,Buenos Aires Primero
707,Unión Porteña Libertaria
708,Frente de Izquierda y de Trabajadores - Unidad
,BLANCO
,RECURRIDOS
,NULOS
,IMPUGNADOS
